,zeolite,pressure,temperature,loading (n),loading std (n),loading (v),loading std (v),density (g/mL)
0,LTA-K,1.0,77.0,813.3462999999999,2.0170400000000086,11.40315274661873,0.02827899409641372,1.2819683387369765
1,LTA-K,1.0,92.4,600.51199,0.6780100000000289,8.419205875954658,0.009505731560757447,1.2819683387369765
2,LTA-K,1.0,110.88,355.14242,1.694199999999995,4.97911315520071,0.023752762363732888,1.2819683387369765
3,LTA-K,1.0,133.06,161.73340000000002,0.37153999999999604,2.267509748836364,0.005209007985256315,1.2819683387369765
4,LTA-K,1.0,159.67,63.841390000000004,0.5608500000000021,0.8950592407274216,0.007863142941624175,1.2819683387369765
5,LTA-K,1.0,191.6,22.7377,0.6286999999999985,0.3187836057123426,0.00881440307996628,1.2819683387369765
6,LTA-K,1.0,229.92,8.90385,0.023849999999999483,0.12483238883976136,0.0003343781031607949,1.2819683387369765
7,LTA-K,1.0,275.9,4.143549999999999,0.03539000000000003,0.058092762656265895,0.0004961694369333668,1.2819683387369765
8,LTA-K,2.71,77.0,897.5937200000001,0.2937400000000139,12.584305471809149,0.004118248386685897,1.2819683387369765
9,LTA-K,2.71,92.4,704.81322,0.26520000000004984,9.881513944916442,0.0037181162665937692,1.2819683387369765
10,LTA-K,2.71,110.88,490.22514,2.926400000000001,6.872979137733278,0.04102826335806171,1.2819683387369765
11,LTA-K,2.71,133.06,276.47271,1.6787899999999922,3.8761601822023706,0.02353671345095683,1.2819683387369765
12,LTA-K,2.71,159.67,132.31678,0.8974599999999953,1.8550873757964428,0.01258243071122398,1.2819683387369765
13,LTA-K,2.71,191.6,54.54288,0.35422000000000153,0.7646937004330084,0.004966180784135004,1.2819683387369765
14,LTA-K,2.71,229.92,23.60795,0.36711000000000027,0.33098455096499196,0.005146899180350615,1.2819683387369765
15,LTA-K,2.71,275.9,11.220469999999999,0.07477,0.15731150839298472,0.0010482788584206782,1.2819683387369765
16,LTA-K,7.39,77.0,970.65642,4.134059999999977,13.608647905260163,0.05795971241731396,1.2819683387369765
17,LTA-K,7.39,92.4,796.4122600000001,0.6441400000000499,11.165736722549585,0.009030872594130641,1.2819683387369765
18,LTA-K,7.39,110.88,612.26907,1.0587300000000255,8.584040681368068,0.014843443570626606,1.2819683387369765
19,LTA-K,7.39,133.06,417.405,0.43319999999999936,5.852037406701661,0.006073484037285504,1.2819683387369765
