,zeolite,pressure,temperature,loading (n),loading std (n),loading (v),loading std (v),density (g/mL)
15,IRY-0,2.71,44.6,292.77706666666666,1.5576614394662227,17.750652879517148,0.09443877497158452,1.1151377935640376
16,IRY-0,30.0,44.6,358.3544833333333,1.4458889394686554,21.726517428056912,0.0876621688954279,1.1151377935640376
17,IRY-0,54.6,44.6,368.04921666666667,1.0598846681230156,22.3142951803199,0.06425928454838181,1.1151377935640376
5,RWY-0,54.6,44.6,669.8444583333334,1.6766956675548292,24.812334846670108,0.062108051834667576,0.854613843329287
4,RWY-0,30.0,44.6,649.5284833333333,3.265065157721476,24.05979182244204,0.12094433115286925,0.854613843329287
3,RWY-0,2.71,44.6,532.3183750000002,3.4624106854004197,19.718102615044113,0.12825439135019653,0.854613843329287
20,IRY-0,54.6,53.5,330.6033083333333,1.4662245185575815,20.044003561680306,0.08889508583670756,1.1151377935640376
19,IRY-0,30.0,53.5,314.87188333333336,0.5436736968174061,19.090229867400208,0.03296215506837155,1.1151377935640376
18,IRY-0,2.71,53.5,216.86466666666664,2.6278496227904657,13.148193141148331,0.1593227468421604,1.1151377935640376
6,RWY-0,2.71,53.5,389.50885,3.8208559798311055,14.428161480932955,0.14153189862667176,0.854613843329287
7,RWY-0,30.0,53.5,571.3680333333334,2.9972018741560595,21.164577518524727,0.11102215682975758,0.854613843329287
8,RWY-0,54.6,53.5,599.7470833333333,3.788213494035,22.215792442333175,0.14032275779147566,0.854613843329287
18,IRY-0,2.71,60.0,161.09426875,1.6976231768522554,9.766914048348381,0.10292445400730683,1.1151377935640376
19,IRY-0,30.0,60.0,284.12461875,1.0754281417584042,17.226067394473972,0.06520166302148071,1.1151377935640376
20,IRY-0,54.6,60.0,304.3982375,1.0747748810070694,18.455227769431357,0.06516205676075552,1.1151377935640376
2,RWY-0,54.6,60.0,548.97306875,0.9451715396349736,20.335024697406254,0.03501098267994533,0.854613843329287
0,RWY-0,2.71,60.0,266.7858625,1.7301141941628475,9.882264562101671,0.06408677742196553,0.854613843329287
1,RWY-0,30.0,60.0,507.07015625,1.6789420190698785,18.782859738711732,0.0621912610413443,0.854613843329287
22,IRY-0,30.0,64.2,265.94055833333334,2.308779358097046,16.123593938915008,0.13997797514528149,1.1151377935640376
21,IRY-0,2.71,64.2,131.93201666666667,1.9433110149518835,7.9988486058949215,0.11782015461827967,1.1151377935640376
9,RWY-0,2.71,64.2,220.73568333333333,13.039439386924489,8.176476821354418,0.4830060654472522,0.854613843329287
10,RWY-0,30.0,64.2,485.6225666666666,3.2692679379335075,17.988399520708693,0.12110001026405776,0.854613843329287
11,RWY-0,54.6,64.2,519.4473083333334,4.055379986571657,19.24133340094661,0.15021912162663206,0.854613843329287
23,IRY-0,54.6,64.2,287.63721666666663,1.7365560280656405,17.43903115913609,0.10528489683627164,1.1151377935640376
3,RWY-0,2.71,70.0,150.8299125,1.752084876609508,5.58703180609372,0.0649006140117804,0.854613843329287
4,RWY-0,30.0,70.0,418.849575,0.9540634484928237,15.514998707526514,0.03534035618936572,0.854613843329287
5,RWY-0,54.6,70.0,473.332225,1.2292719811945556,17.533141484280247,0.04553461275311569,0.854613843329287
23,IRY-0,54.6,70.0,267.57345625000005,1.7563971898173971,16.222594193396812,0.10648783796479508,1.1151377935640376
22,IRY-0,30.0,70.0,239.12158125,1.2783237683920008,14.497597892810845,0.07750293333663663,1.1151377935640376
21,IRY-0,2.71,70.0,98.5070875,1.635879176419747,5.97234317664472,0.09918100397705557,1.1151377935640376
24,IRY-0,2.71,75.0,74.38143124999998,1.5526669523632342,4.509639302806571,0.0941359663947867,1.1151377935640376
26,IRY-0,54.6,75.0,250.0027625,1.3048479479785169,15.157308277530847,0.07911105623408425,1.1151377935640376
8,RWY-0,54.6,75.0,439.11241875,1.0548426837500222,16.265573647448708,0.039073414065241424,0.854613843329287
7,RWY-0,30.0,75.0,379.545175,1.4999331153838191,14.059087679802287,0.05556042487701263,0.854613843329287
6,RWY-0,2.71,75.0,114.965025,1.6590874191479483,4.258526976625805,0.06145580824274183,0.854613843329287
25,IRY-0,30.0,75.0,219.32460625,1.848954180144401,13.297335743557309,0.1120994352991519,1.1151377935640376
30,IRY-0,2.71,80.0,57.83765625,1.8008883803274536,3.5066139952397872,0.10918527491889787,1.1151377935640376
32,IRY-0,54.6,80.0,232.72203125,1.713923157724972,14.109602371411464,0.10391269842722847,1.1151377935640376
31,IRY-0,30.0,80.0,199.4006875,1.6179195973823108,12.08937717713856,0.09809214050497653,1.1151377935640376
14,RWY-0,54.6,80.0,405.9729875,1.381126723175223,15.038024991079855,0.051159606226158665,0.854613843329287
13,RWY-0,30.0,80.0,342.65840625,1.9872877186062936,12.692730391553686,0.07361298238313829,0.854613843329287
12,RWY-0,2.71,80.0,88.50049375,0.8742580773995942,3.278229531799593,0.032384210825328684,0.854613843329287
16,RWY-0,30.0,85.0,307.7277375,1.7088244807743602,11.398830832244627,0.06329816524370083,0.854613843329287
23,JST-0,54.6,85.0,223.094725,0.5032632679572394,13.803625321852069,0.03113860083035389,1.427513156710266
0,MON-0,2.71,85.0,142.6412125,1.9516918893856563,8.164447552263464,0.11171025392866164,1.7607462676565635
17,RWY-0,54.6,85.0,375.85994375,1.0150375717915288,13.92257958359451,0.03759895569772614,0.854613843329287
1,MON-0,30.0,85.0,231.9614375,0.7631091680380675,13.276927175702395,0.04367857416451931,1.7607462676565635
2,MON-0,54.6,85.0,242.218625,0.5051118038365359,13.864024466238133,0.02891141177345635,1.7607462676565635
21,JST-0,2.71,85.0,131.590575,2.033019984376695,8.14195402059405,0.1257898237449292,1.427513156710266
35,IRY-0,54.6,85.0,216.579125,2.1649996866339265,13.130881160174727,0.13126082025220862,1.1151377935640376
34,IRY-0,30.0,85.0,181.8308,2.286346472130809,11.024140143051643,0.13861790150151548,1.1151377935640376
33,IRY-0,2.71,85.0,46.17091875000001,1.0872624024751052,2.7992764637973924,0.06591915724484837,1.1151377935640376
15,RWY-0,2.71,85.0,69.94919999999999,1.6614637180059038,2.5910537156269373,0.06154383095044036,0.854613843329287
22,JST-0,30.0,85.0,215.9504,0.7517190465858861,13.361581766238904,0.046511400331726495,1.427513156710266
24,JST-0,2.71,90.0,103.0239375,2.30625925252209,6.374439523085562,0.14269606158043208,1.427513156710266
26,JST-0,54.6,90.0,217.4927875,0.5913086956858935,13.457014498461096,0.036586269284498416,1.427513156710266
25,JST-0,30.0,90.0,207.4070875,0.700799148182803,12.832978121497884,0.0433608139654064,1.427513156710266
5,MON-0,54.6,90.0,232.76485,0.657770833953586,13.32291261780653,0.03764925564708485,1.7607462676565635
3,MON-0,2.71,90.0,111.461725,2.584222933373784,6.379807012978902,0.14791484335487334,1.7607462676565635
4,MON-0,30.0,90.0,218.826,1.4045210758475648,12.52508562398546,0.0803914833506207,1.7607462676565635
7,MON-0,30.0,95.0,202.1492625,1.2315186213954523,11.570548388390836,0.07048922970995483,1.7607462676565635
28,JST-0,30.0,95.0,195.8723,1.271268025437594,12.119281798928258,0.07865765318651642,1.427513156710266
27,JST-0,2.71,95.0,80.9097375,2.60583939400412,5.006159161044278,0.16123209835532828,1.427513156710266
8,MON-0,54.6,95.0,221.1693375,1.1571565375279835,12.659212751627495,0.06623291890768253,1.7607462676565635
29,JST-0,54.6,95.0,210.6120625,1.148968818046754,13.03128076655551,0.07109058751079217,1.427513156710266
