,material,pressure,temperature,delta_e,delta_e_err,delta_h,delta_h_err,delta_pv,delta_pv_err,delta_gt,delta_gt_err,q_st,q_st_err
0,ABW-0,1.0,77.0,-6.54203302527992,0.002210589288264675,-7.182201973971309,0.002859848201675952,-0.6401689486913889,0.0006492589134111104,-2.4950599996059677,0.0033377846034849945,-7.215470089322654,0.11155502421841756
1,ACO-0,1.0,77.0,-6.851941530235033,7.08494808310256e-05,-7.492710016889535,0.0003480316249486748,-0.6407684866545024,0.00027718214411753817,-2.62084632947436,0.0010513325565508769,-7.629765922154738,0.006206273527387118
2,AEI-0,1.0,77.0,-4.840440383925452,0.0036262557827209108,-5.48119130645563,0.0036163132382145413,-0.6407509225301775,9.94254450620291e-06,-2.292129434571236,0.009571468953857076,-5.700814978811768,0.05381250338211174
3,AEL-0,1.0,77.0,-5.555091952151541,0.004715343572979425,-6.19585123952972,0.004765811151763888,-0.6407592873781802,5.0467578784407774e-05,-2.0391481904476576,0.00799729812934058,-6.502815982626037,0.026890645424918702
4,AEN-0,1.0,77.0,-6.84143577433073,0.002910926941971592,-7.482458808831746,0.0031490593518284093,-0.641023034501015,0.00023813240985709472,-2.292734255344111,0.0017795537900493485,-7.41904690309868,0.009068338354227823
5,AET-0,1.0,77.0,-3.824844188671104,0.03499464921447837,-4.465484788283682,0.03465242403389324,-0.6406405996125772,0.00034222518058507623,-1.482061290000805,0.2574925779833882,-4.652547285301525,0.07563882061666893
6,AFG-0,1.0,77.0,-6.1482752099401505,0.025039786686292143,-6.7883588680266485,0.0243291329717783,-0.6400836580864973,0.000710653714514009,-2.325179031689197,0.017248679761614927,-6.332525067338707,0.009730084518933424
7,AFI-0,1.0,77.0,-4.023446627072092,0.003224751679665072,-4.663592922395666,0.003331441960883197,-0.6401462953235747,0.0001066902812179027,-1.8322058552172038,0.005799828998382273,-4.888744543969841,0.03300277617765568
8,AFN-0,1.0,77.0,-5.893382642486194,0.009192466516937614,-6.533770837994862,0.00931476657356578,-0.6403881955086673,0.0001223000566280552,-2.212683307578347,0.0015429495732821596,-6.690519328869841,0.1252580136294057
9,AFO-0,1.0,77.0,-5.452682545676325,0.01190320995002514,-6.093123082781302,0.011664704529213754,-0.6404405371049774,0.00023850542081127468,-2.036457502800193,0.00946840234964097,-6.375657028244385,0.047883082638326524
