,Zeolite,"Heat of adsorption (275.9 K, 148.4 bar)","Heat of adsorption error (275.9 K, 148.4 bar)"
0,ABW-0,6.0895963,0.1504439
1,ACO-0,6.780907,0.2637987
2,AEI-0,5.3997135,0.12665631
3,AEL-0,5.97193,0.16991837
4,AEN-0,6.3847923,0.17347237
5,AET-0,4.6945205,0.23263742
6,AFG-0,6.163,0.069925666
7,AFI-0,4.903812,0.21748565
8,AFN-0,6.047163,0.090353005
9,AFO-0,5.9189324,0.1809071
10,AFR-0,5.278409,0.13087542
11,AFS-0,4.914685,0.23646343
12,AFT-0,5.3335056,0.12349553
13,AFV-0,5.4529405,0.11457155
14,AFX-0,5.4206176,0.1105772
15,AFY-0,5.353934,0.22116938
16,AHT-0,5.230433,0.45487398
17,ANA-0,6.3417287,0.17466612
18,APC-0,6.409101,0.2342473
19,APD-0,7.026901,0.25511894
20,AST-0,5.783655,0.06332003
21,ASV-0,6.3404593,0.15846422
22,ATN-0,6.2551036,0.117703035
23,ATO-0,5.7689095,0.2002216
24,ATS-0,5.0566497,0.13786305
25,ATT-0,6.320826,0.0793716
26,ATV-0,6.9898744,0.25701767
27,AVL-0,5.576988,0.051500127
28,AWO-0,7.0385146,0.30957225
29,AWW-0,5.78439,0.06886275
30,BCT-0,4.488647,0.8915525
31,BEA-0,4.893584,0.20217824
32,BEC-0,4.7416415,0.19755079
33,BIK-0,6.083958,0.14638565
34,BOF-0,6.1546345,0.12328922
35,BOG-0,5.033889,0.19955195
36,BOZ-0,4.758713,0.19394079
37,BPH-0,4.813402,0.21779098
38,BRE-0,6.160355,0.23723312
39,BSV-0,6.291633,0.12911737
40,CAS-0,7.1057706,0.24931566
41,CDO-0,5.9031787,0.06985684
42,CFI-0,5.0906715,0.14016607
43,CGF-0,6.538452,0.202752
44,CGS-0,5.7497125,0.08294764
45,CON-0,4.98224,0.20785977
46,CSV-0,5.188399,0.18284701
47,CZP-0,6.8999443,0.23531103
48,DAC-0,6.3971443,0.14365727
49,DDR-0,6.24521,0.17092586
50,DFO-0,4.8486705,0.19538149
51,DFT-0,7.0385785,0.26197246
52,DOH-0,6.7180686,0.29020473
53,DON-0,4.6689987,0.21904577
54,EAB-0,5.6031184,0.08638919
55,EDI-0,6.290457,0.23131704
56,EEI-0,5.7486806,0.12062836
57,EMT-0,4.0513377,0.17742282
58,EON-0,5.594668,0.06522699
59,EPI-0,6.6733437,0.17999911
60,ERI-0,5.3474846,0.112108395
61,ESV-0,6.322826,0.11394535
62,ETL-0,6.3551655,0.0917876
63,ETR-0,5.0151696,0.19310431
64,EUO-0,5.448564,0.08840892
65,EWS-0,5.58003,0.0917594
66,EZT-0,5.4442425,0.14815636
67,FAR-0,6.028296,0.12199268
68,FAU-0,4.0167775,0.18236777
69,FER-0,5.961539,0.15362816
70,FRA-0,5.93557,0.16320962
71,GIS-0,6.1880264,0.07976669
72,GIU-0,6.085457,0.09747295
73,GME-0,5.3805747,0.10894611
74,GON-0,5.7236333,0.121141456
75,GOO-0,6.3357882,0.07317235
76,HEU-0,6.3443546,0.09975745
77,IFO-0,4.785593,0.15935962
78,IFR-0,5.307319,0.1664039
79,IFW-0,5.053821,0.18393654
80,IFY-0,6.1220145,0.094537124
81,IHW-0,5.796444,0.07225026
82,IMF-0,5.690252,0.1741568
83,IRN-0,5.228684,0.16929533
84,IRR-0,3.5742648,0.16917232
85,IRY-0,3.604201,0.16686462
86,ISV-0,4.80999,0.1622632
87,ITE-0,5.4821143,0.10952374
88,ITG-0,5.1942024,0.15461127
89,ITH-0,5.592308,0.1355461
90,ITR-0,5.626948,0.10664831
91,ITT-0,3.8220758,0.16263346
92,ITW-0,6.4611683,0.1752348
93,IWR-0,5.019015,0.17095378
94,IWS-0,4.5897317,0.2300607
95,IWV-0,4.655934,0.22504906
96,IWW-0,5.253364,0.11348954
