,Zeolite,Optimal temperature (K),Optimal temperature error (K),Tank capacity (mol),Tank capacity error (mol),Excess capacity (mol),Excess capacity error (mol)
0,ABW-0,160.0,0.0,28.682543478965755,0.14993339693429916,-2.0478910642394137,0.14993339693429916
1,ACO-0,160.0,0.0,20.903483634066582,0.9299560735151768,-9.826950909138592,0.9299560735151768
2,AEI-0,160.0,0.0,24.70826706094742,0.16902074261044864,-6.022167482257754,0.16902074261044864
3,AEL-0,160.0,0.0,12.290103958332539,0.08996888286546635,-18.440330584872633,0.08996888286546634
4,AEN-0,160.0,0.0,17.919260701036453,0.1038410668144287,-12.81117384216872,0.1038410668144287
5,AET-0,160.0,0.0,13.835253098976612,0.11316985592482223,-16.895181444228562,0.11316985592482172
6,AFG-0,160.0,0.0,20.220149088168142,0.17891356137531578,-10.51028545503703,0.17891356137531578
7,AFI-0,160.0,0.0,16.12951972182989,0.12386785589840688,-14.600914821375286,0.12386785589840688
8,AFN-0,160.0,0.0,18.29956326274872,0.06747295601386905,-12.430871280456456,0.06747295601386906
9,AFO-0,160.0,0.0,12.262674316287042,0.10815975650897715,-18.46776022691813,0.1081597565089772
10,AFR-0,160.0,0.0,26.42874925432205,0.18170542529554387,-4.301685288883121,0.18170542529554387
11,AFS-0,160.0,0.0,25.16754514348507,0.22499732847912507,-5.562889399720104,0.2249973284791251
12,AFT-0,160.0,0.0,25.55240551486015,0.16314613096353556,-5.178029028345021,0.16314613096353556
13,AFV-0,160.0,0.0,23.223253517293927,0.14966468015874787,-7.507181025911244,0.14966468015874787
14,AFX-0,160.0,0.0,26.415668169975277,0.1709502940902634,-4.314766373229894,0.1709502940902634
15,AFY-0,160.0,0.0,28.66810733115673,0.2062153295323087,-2.0623272120484426,0.2062153295323087
16,AHT-0,160.0,0.0,20.334486983346938,0.3215775886506842,-10.395947559858236,0.3215775886506842
17,ANA-0,160.0,0.0,21.246358905601504,0.3139826057735618,-9.484075637603672,0.3139826057735618
18,APC-0,160.0,0.0,14.437735244607927,0.23026617874785335,-16.29269929859725,0.2302661787478535
19,APD-0,160.0,0.0,13.343467911469935,0.1518312638838844,-17.386966631735238,0.1518312638838846
20,AST-0,160.0,0.0,23.06999389326572,0.11558701801535683,-7.660440649939449,0.11558701801535683
21,ASV-0,160.0,0.0,12.482147017359733,0.17019670905318243,-18.248287525845445,0.17019670905318313
22,ATN-0,160.0,0.0,13.048273740267755,0.38824671060872784,-17.68216080293742,0.38824671060872795
