,Zeolite,Optimal temperature (K),Optimal temperature error (K),Tank capacity (mol),Tank capacity error (mol),Excess capacity (mol),Excess capacity error (mol)
0,7938,50.40000000000022,0.0,32.0302884664249,0.0,18.90193019905418,0.0
1,8172,46.20000000000016,0.0,38.23186038891528,0.0,23.910015006329026,0.0
2,5483,78.70000000000061,0.0,18.076085161943023,0.0,9.668597783601449,0.0
3,2582,48.700000000000195,0.0,37.19615496473539,0.0,23.609517250659735,0.0
4,13273,51.00000000000023,0.0,30.2648377291946,0.0,17.290930735557655,0.0
5,2226,49.90000000000021,0.0,35.043358135202475,0.0,21.783453191805997,0.0
6,9707,42.70000000000011,0.0,38.28244818485819,0.0,22.786681049600922,0.0
7,3,92.60000000000082,0.0,15.798137774432913,0.0,8.652681438844562,0.0
8,8999,50.800000000000225,0.0,31.410415373853358,0.0,18.385430006225718,0.0
9,5850,51.80000000000024,0.0,28.060647942509995,0.0,15.287110168852001,0.0
10,5508,49.90000000000021,0.0,35.18745095556075,0.0,21.92754601216427,0.0
11,6311,50.40000000000022,0.0,32.63277577855106,0.0,19.50441751118034,0.0
12,8518,45.50000000000015,0.0,38.45307717139959,0.0,23.910895706004318,0.0
13,2011,46.600000000000165,0.0,38.39185094845993,0.0,24.192939861003175,0.0
14,11230,46.600000000000165,0.0,38.43446708157761,0.0,24.23555599412085,0.0
15,4043,70.3000000000005,0.0,18.0451743247391,0.0,8.633093859938496,0.0
16,9709,41.700000000000095,0.0,38.48159841455524,0.0,22.614230148956068,0.0
17,4696,88.30000000000075,0.0,16.577773771066493,0.0,9.084350705659002,0.0
18,11202,43.40000000000012,0.0,38.11329331779845,0.0,22.867457910529204,0.0
19,820,47.90000000000018,0.0,36.71767922246224,0.0,22.904124803349823,0.0
20,3833,72.20000000000053,0.0,17.983943743429492,0.0,8.819549606649959,0.0
21,6867,95.30000000000086,0.0,14.750496012313667,0.0,7.807481776474411,0.0
22,6267,47.10000000000017,0.0,38.30144315975307,0.0,24.253263612502863,0.0
23,3984,75.30000000000058,0.0,17.789805032420634,0.0,9.002696710037075,0.0
24,4825,47.90000000000018,0.0,38.0366608459211,0.0,24.223106426808684,0.0
25,4169,95.60000000000086,0.0,14.968203841130453,0.0,8.046977306868097,0.0
26,4605,45.40000000000015,0.0,38.38152210988633,0.0,23.807309407783144,0.0
27,11851,49.400000000000205,0.0,36.15446092679657,0.0,22.76034641919567,0.0
28,574,46.80000000000017,0.0,38.38814223811659,0.0,24.249910257871193,0.0
29,5897,80.20000000000064,0.0,17.591660189056693,0.0,9.341420080883603,0.0
30,8117,49.80000000000021,0.0,35.12759868763701,0.0,21.84106742909315,0.0
31,1289,47.90000000000018,0.0,37.91379150578744,0.0,24.100237086675023,0.0
32,3388,100.90000000000094,0.0,11.371454014128759,0.0,4.813780508920821,0.0
33,8879,74.50000000000057,0.0,17.849416167595564,0.0,8.967949635038757,0.0
34,1190,46.10000000000016,0.0,38.23354077791818,0.0,23.880628485608312,0.0
35,10065,46.10000000000016,0.0,38.500764387079556,0.0,24.14785209476969,0.0
36,5544,50.70000000000022,0.0,32.15988886688702,0.0,19.10921319281436,0.0
37,4919,51.00000000000023,0.0,31.67040307781978,0.0,18.696496084182836,0.0
38,4558,46.50000000000016,0.0,38.480822587436265,0.0,24.251376207318312,0.0
39,1791,50.100000000000215,0.0,33.67434080878476,0.0,20.467369617657333,0.0
40,2394,52.60000000000025,0.0,25.678284978535252,0.0,13.09902154364012,0.0
41,12742,53.50000000000026,0.0,24.843521503233255,0.0,12.475871845747575,0.0
42,13481,54.70000000000028,0.0,24.707627046454423,0.0,12.611296942697866,0.0
43,1140,46.80000000000017,0.0,38.324617901110976,0.0,24.186385920865575,0.0
44,11247,44.400000000000134,0.0,38.078388294785434,0.0,23.175927558851082,0.0
45,4811,56.1000000000003,0.0,23.31174535583839,0.0,11.517284452532088,0.0
46,3226,59.60000000000035,0.0,21.940206713739265,0.0,10.838373548043236,0.0
47,4272,47.70000000000018,0.0,37.95075647197791,0.0,24.079283585699407,0.0
48,6182,46.50000000000016,0.0,38.40046556991918,0.0,24.171019189801225,0.0
49,2309,50.800000000000225,0.0,31.762734757665307,0.0,18.737749390037663,0.0
50,3396,51.500000000000234,0.0,28.795352891920626,0.0,15.947406160357827,0.0
51,6324,48.100000000000186,0.0,37.94401723910956,0.0,24.187899636708636,0.0
52,5906,59.60000000000035,0.0,21.572240780511727,0.0,10.470407614815699,0.0
53,2935,97.80000000000089,0.0,13.40594168044643,0.0,6.640407358611245,0.0
54,872,50.100000000000215,0.0,34.06551223384122,0.0,20.85854104271379,0.0
55,12986,51.80000000000024,0.0,28.86883960739647,0.0,16.095301833738475,0.0
56,12889,50.100000000000215,0.0,33.00711995955686,0.0,19.80014876842943,0.0
57,13258,45.200000000000145,0.0,38.22775094243459,0.0,23.589050573507933,0.0
58,3117,68.60000000000048,0.0,18.5589585564792,0.0,8.913634115145637,0.0
59,12939,50.60000000000022,0.0,30.78035479020292,0.0,17.70388726697201,0.0
60,9474,62.30000000000039,0.0,19.972497050581474,0.0,9.351802721922036,0.0
61,5530,77.0000000000006,0.0,18.088169745636296,0.0,9.495062516084582,0.0
