,Zeolite,"Heat of adsorption (275.9 K, 1.0 bar)","Heat of adsorption error (275.9 K, 1.0 bar)"
0,8056830,4.3827252,1.6386292
1,8080784,5.921744,1.0091684
2,8087188,5.3376193,1.2310325
3,8206103,5.521053,1.0692416
4,8206155,6.082045,1.1214234
5,8206186,5.5946293,1.1616704
6,8214411,6.20686,0.856737
7,8255418,5.5288596,1.2112803
8,8265201,4.6707964,1.3556229
9,8265611,5.357571,1.0386866
10,8265828,5.3961678,1.2817501
11,8267423,5.523992,1.297526
12,8268490,5.7914004,1.3356277
13,8268700,6.1903415,1.0557097
14,8274307,5.511978,1.4300288
15,8283850,6.066738,1.1312668
16,8287620,5.6929665,1.1543541
17,8287803,5.5654254,1.2516705
18,8289148,5.916451,1.0038725
19,8289716,5.635548,1.153842
20,8292668,5.1388955,1.1735502
21,8292962,5.532967,1.37249
22,8293280,6.5272527,1.0544286
23,8312155,5.359066,1.1435921
24,8312223,5.1089187,1.2043175
25,8313037,5.427772,1.1341261
26,8313042,5.4662666,1.1182681
27,8315144,5.662113,1.2983629
28,8318459,5.558464,1.3647108
29,8319320,5.2792025,1.2494814
30,8321874,6.30203,1.5368539
31,8322959,5.9652944,1.6237249
32,8325096,5.565067,1.2380887
33,8326559,5.8002095,1.2016951
34,8326730,5.6330485,1.149752
35,8326866,5.541096,1.1113669
36,8329937,6.174338,1.5430707
37,8067418,5.3429966,1.384394
38,8078629,5.1830983,1.2225729
39,8084708,5.251887,1.1348509
40,8133379,6.18938,1.0294908
41,8194023,5.461921,1.2648367
42,8268600,5.515869,1.5004056
43,8286937,4.82468,1.2118748
44,8287056,5.3880324,1.0527015
45,8298667,5.770342,1.0212507
46,8301472,6.4522476,0.8696613
47,8307693,4.9864707,1.1420928
48,8312978,5.422306,1.1315053
49,8315436,5.701588,1.1931233
50,8315703,5.5113277,1.260707
51,8316304,5.3734994,1.3020415
52,8316376,4.4699554,1.4960397
53,8317141,6.048679,0.9913901
54,8317769,6.235119,0.9366676
55,8318323,4.5391345,1.4318688
56,8318347,4.7462745,1.3106503
57,8323183,5.334915,1.0607299
58,8323211,4.9607525,1.1285034
59,8323836,4.9360576,1.1849521
60,8324002,5.013096,1.2676989
61,8325000,5.7394276,1.1419177
62,8326122,4.4120855,1.5625888
63,8326877,5.279564,1.2502302
64,8328497,5.5761495,1.0773739
65,8328498,5.9083576,1.138697
66,8328529,5.9450736,1.022972
67,8329212,5.143024,1.3721333
68,8329795,5.5558915,1.2898824
69,8331121,5.041226,1.1649379
