T,p,Znist,Zsim
77,1,0.99837,1
77,2.71,0.99561,1
77,7.39,0.98829,0.999
77,20.09,0.97112,0.999
77,30,0.96149,1.002
77,54.6,0.9552,1.026
77,148.4,1.1176,1.254
77,403.4,1.8804,2.079
92.4,1,0.99947,1.001
92.4,2.71,0.99859,1.002
92.4,7.39,0.99635,1.005
92.4,20.09,0.99203,1.014
92.4,30,0.99086,1.024
92.4,54.6,0.9975,1.055
92.4,148.4,1.1257,1.25
92.4,403.4,1.7249,1.933
110.88,1,1.0001,1.002
110.88,2.71,1.0003,1.003
110.88,7.39,1.001,1.008
110.88,20.09,1.0039,1.022
110.88,30,1.0074,1.034
110.88,54.6,1.0213,1.068
110.88,148.4,1.1321,1.24
110.88,403.4,1.6053,1.807
133.06,1,1.0005,1.002
133.06,2.71,1.0012,1.004
133.06,7.39,1.0035,1.009
133.06,20.09,1.0101,1.025
133.06,30,1.016,1.038
133.06,54.6,1.0335,1.072
133.06,148.4,1.1326,1.224
133.06,403.4,1.512,1.696
159.67,1,1.0006,1.002
159.67,2.71,1.0017,1.004
159.67,7.39,1.0046,1.01
159.67,20.09,1.013,1.025
159.67,30,1.0199,1.038
159.67,54.6,1.0385,1.07
159.67,148.4,1.1276,1.204
159.67,403.4,1.437,1.6
191.6,1,1.0007,1.002
191.6,2.71,1.0018,1.004
191.6,7.39,1.005,1.009
191.6,20.09,1.0138,1.024
191.6,30,1.0208,1.036
191.6,54.6,1.0392,1.065
191.6,148.4,1.1187,1.183
191.6,403.4,1.3744,1.517
229.92,1,1.0007,1.002
229.92,2.71,1.0018,1.004
229.92,7.39,1.0049,1.009
229.92,20.09,1.0134,1.022
229.92,30,1.0201,1.032
229.92,54.6,1.0373,1.059
229.92,148.4,1.1076,1.161
229.92,403.4,1.3208,1.443
275.9,1,1.0006,1.002
275.9,2.71,1.0017,1.003
275.9,7.39,1.0045,1.008
275.9,20.09,1.0124,1.019
275.9,30,1.0185,1.029
275.9,54.6,1.034,1.052
275.9,148.4,1.0955,1.14
275.9,403.4,1.274,1.379
