,Code,Framework density,Topological density,Channel dimensionality,Max inclusion diameter,Max diffusion diameter a,Max diffusion diameter b,Max diffusion diameter c,Accessible volume (%)
0,ABW,17.6,833.0,1.0,4.24,2.61,3.51,2.61,5.19
1,ACO,16.5,787.0,3.0,4.58,3.56,3.56,3.56,8.68
2,AEI,15.1,689.0,3.0,7.33,3.84,3.84,3.64,17.31
3,AEL,19.2,904.0,1.0,5.64,4.63,2.01,2.01,6.77
4,AEN,20.1,956.0,2.0,4.43,1.21,3.38,3.66,4.02
5,AET,18.2,824.0,1.0,8.41,1.78,1.78,7.59,12.88
6,AFG,16.9,816.0,0.0,6.37,2.55,2.55,2.54,0.0
7,AFI,16.9,828.0,1.0,8.3,2.22,2.22,7.42,14.07
8,AFN,17.4,777.0,3.0,5.25,2.85,2.53,2.85,7.82
9,AFO,19.2,907.0,1.0,5.43,2.21,1.49,5.07,7.23
10,AFR,15.2,687.0,2.0,8.36,1.64,3.77,6.97,19.62
11,AFS,14.6,656.0,3.0,9.51,3.76,3.76,6.01,21.6
12,AFT,15.1,685.0,3.0,7.75,3.68,3.68,3.68,17.28
13,AFV,15.7,704.0,2.0,7.08,3.46,3.46,2.48,15.29
14,AFX,15.1,689.0,3.0,7.76,3.73,3.73,3.73,17.28
15,AFY,14.1,585.0,3.0,7.82,4.08,4.08,5.9,21.88
16,AHT,19.2,853.0,1.0,3.95,2.4,2.4,2.75,0.0
17,ANA,19.2,933.0,3.0,4.21,2.43,2.43,2.43,0.0
18,APC,17.7,814.0,2.0,4.23,3.16,2.57,2.6,4.8
19,APD,18.0,888.0,2.0,4.93,3.63,2.45,2.68,5.73
20,AST,15.8,742.0,0.0,7.94,1.91,1.91,1.91,0.0
21,ASV,19.1,787.0,1.0,5.43,1.52,1.52,4.43,6.98
22,ATN,17.8,833.0,1.0,5.91,1.94,1.94,4.11,7.3
23,ATO,18.8,894.0,1.0,5.74,2.12,2.12,5.49,6.93
24,ATS,16.1,752.0,1.0,7.3,2.44,1.62,6.82,15.64
25,ATT,17.1,768.0,2.0,5.42,3.79,3.69,1.41,9.18
26,ATV,18.9,960.0,1.0,4.74,3.48,2.39,2.14,3.92
27,AVL,15.8,710.0,2.0,7.14,3.55,3.55,2.48,14.36
28,AWO,18.2,828.0,2.0,5.16,3.67,3.04,1.89,5.35
29,AWW,16.9,772.0,1.0,7.48,1.86,1.86,4.17,12.04
30,BCT,19.0,959.0,1.0,3.8,2.55,2.55,2.91,0.45
31,BEC,15.1,764.0,3.0,6.95,6.09,6.09,6.09,21.18
32,BIK,18.7,1052.0,1.0,4.17,2.55,1.56,3.55,3.96
33,BOF,18.3,880.0,1.0,5.58,4.67,1.77,1.77,9.06
34,BOG,16.1,781.0,3.0,8.05,6.88,4.92,4.92,18.13
35,BOZ,12.9,748.0,3.0,8.71,4.92,3.68,4.92,22.27
36,BPH,14.6,667.0,3.0,9.51,3.51,3.51,6.01,21.65
37,BRE,18.3,901.0,2.0,5.29,2.74,1.64,2.96,6.84
38,BSV,18.7,831.0,3.0,5.17,3.84,3.84,3.84,6.59
39,CAN,16.9,817.0,1.0,6.27,2.53,2.53,5.96,8.41
40,CAS,18.8,1042.0,1.0,5.05,2.97,2.21,2.45,3.95
41,CDO,18.1,1053.0,2.0,5.78,3.44,1.52,3.35,7.82
42,CFI,16.8,892.0,1.0,7.47,2.62,7.26,2.4,13.38
43,CGF,19.0,819.0,2.0,5.76,2.29,1.46,3.03,2.95
44,CGS,16.9,718.0,3.0,5.86,4.01,2.97,2.97,10.62
