,sigma,pressure,loading_1,loading_2
0,3.1,2.71,13.10919889910703,13.097018983923764
1,3.1,30.0,15.288092842587282,15.212013061589289
2,3.2,2.71,12.963365882983222,12.849600217654151
3,3.2,30.0,15.027050096370226,14.990447260612278
4,3.4,30.0,14.311831456762466,14.041370744474202
5,3.4,2.71,12.238652167049853,12.327689975798219
6,3.6,2.71,11.295243254610005,11.367351857506517
7,3.6,30.0,13.260895799576629,13.403931816472742
8,3.8,30.0,12.402676193188388,11.887835559656095
9,3.8,2.71,10.602376073742876,10.575510160108415
10,4.0,2.71,10.076112607525037,10.072456880464276
11,4.0,30.0,11.64678890440898,11.490227047889203
12,4.2,2.71,9.467961556148438,9.416269645609493
13,4.2,30.0,9.197052202380046,9.23407914453718
14,4.5,2.71,8.759122037586298,8.74762559965792
15,4.5,30.0,9.677084566074916,8.656102737711015
