,zeolite,pressure,temperature,loading
0,LTA-2,30.0,92.4,11.459940242968736
1,LTA-2,148.4,229.92,5.041925836528657
2,LTA-2,7.39,110.88,7.8265155707852525
3,LTA-2,1.0,191.6,0.22807811246205154
4,LTA-2,2.71,191.6,0.5602042456932854
5,LTA-2,20.09,110.88,9.093188194717946
6,LTA-2,403.40000000000003,229.92,7.380828815401415
7,LTA-2,54.6,92.4,11.987505820982427
8,LTA-2,54.6,229.92,2.9978311327702234
9,LTA-2,403.40000000000003,92.4,14.370100521500373
10,LTA-2,20.09,191.6,2.760981728870437
11,LTA-2,2.71,110.88,6.284228115060124
12,LTA-2,1.0,110.88,4.589167720315396
13,LTA-2,7.39,191.6,1.3579799276684443
14,LTA-2,148.4,92.4,13.095839547532638
15,LTA-2,30.0,229.92,2.004927952041762
16,LTA-2,148.4,191.6,6.67951806167774
17,LTA-2,30.0,110.88,9.604327536039152
18,LTA-2,1.0,229.92,0.09095680257939617
19,LTA-2,7.39,92.4,10.00553569468179
20,LTA-2,20.09,92.4,11.083098924715763
21,LTA-2,2.71,229.92,0.24796730057930488
22,LTA-2,54.6,110.88,10.355802015260075
23,LTA-2,403.40000000000003,191.6,8.820689318205496
24,LTA-2,403.40000000000003,110.88,13.123946235260586
25,LTA-2,54.6,191.6,4.645591396465109
26,LTA-2,2.71,92.4,8.851370436926857
27,LTA-2,20.09,229.92,1.5273823940512148
28,LTA-2,7.39,229.92,0.6391143235288275
29,LTA-2,1.0,92.4,7.621206013439894
30,LTA-2,30.0,191.6,3.5107650400119557
31,LTA-2,148.4,110.88,11.598111303814669
32,LTA-2,1.0,133.06,1.8602445797107903
33,LTA-2,7.39,159.67,2.841870385733592
34,LTA-2,148.4,77.0,14.06905858332031
35,LTA-2,30.0,275.9,1.1492757666238074
36,LTA-2,54.6,275.9,1.8994078264158971
37,LTA-2,403.40000000000003,77.0,14.352847102078897
38,LTA-2,20.09,159.67,4.707053526737397
39,LTA-2,2.71,133.06,3.3854801541793424
40,LTA-2,2.71,159.67,1.4181714912489523
41,LTA-2,20.09,133.06,6.994546748502072
42,LTA-2,403.40000000000003,275.9,5.915292350388695
43,LTA-2,54.6,77.0,13.519888114029019
44,LTA-2,30.0,77.0,13.034268761901878
45,LTA-2,148.4,275.9,3.612527793241716
46,LTA-2,7.39,133.06,5.241702733120981
47,LTA-2,1.0,159.67,0.6327404600005474
48,LTA-2,7.39,275.9,0.3196903522038279
49,LTA-2,1.0,77.0,10.189448908937575
50,LTA-2,30.0,159.67,5.478496056835752
51,LTA-2,148.4,133.06,9.94792381961204
52,LTA-2,403.40000000000003,133.06,11.690089817264834
53,LTA-2,54.6,159.67,6.6099961573151145
54,LTA-2,2.71,77.0,11.204302224582644
55,LTA-2,20.09,275.9,0.8274017922159
56,LTA-2,20.09,77.0,12.878983313759822
57,LTA-2,2.71,275.9,0.13167101690136554
58,LTA-2,54.6,133.06,8.463917696165296
59,LTA-2,403.40000000000003,159.67,10.261972855704364
60,LTA-2,148.4,159.67,8.312122655371919
61,LTA-2,30.0,133.06,7.582216264807183
62,LTA-2,1.0,275.9,0.04673932919967816
63,LTA-2,7.39,77.0,12.131612618911198
