temperature (K),pressure (Bar),chemical potential average (K),De Broglie Wavelength (m),Fugacity (Bar),Fugacity (Pa)
77,1,-635.9444853,1.41E-10,0.989760848,98976.0848
77,2.71,-559.2645956,1.41E-10,2.679287205,267928.72
77,7.39,-482.2146934,1.41E-10,7.28777926,728777.926
77,20.09,-405.5425403,1.41E-10,19.72607016,1972607.02
77,30,-374.878916,1.41E-10,29.37576476,2937576.48
77,54.6,-328.6982639,1.41E-10,53.51268534,5351268.53
77,148.4,-244.1398442,1.41E-10,160.4656707,16046567.1
77,403.4,-85.16410053,1.41E-10,1264.838946,126483895
92.4,1,-805.1575546,1.28E-10,0.990747966,99074.7966
92.4,2.71,-712.9786531,1.28E-10,2.686695661,268669.566
92.4,7.39,-620.1663816,1.28E-10,7.33585429,733585.429
92.4,20.09,-527.1885691,1.28E-10,20.06600831,2006600.83
92.4,30,-489.5964785,1.28E-10,30.14044814,3014044.81
92.4,54.6,-432.5471726,1.28E-10,55.88437322,5588437.32
92.4,148.4,-329.1918479,1.28E-10,171.0316988,17103169.9
92.4,403.4,-171.4372543,1.28E-10,943.0786743,94307867.4
110.88,1,-1016.652378,1.17E-10,0.991429278,99142.9278
110.88,2.71,-905.9500354,1.17E-10,2.690669611,269066.961
110.88,7.39,-794.269084,1.17E-10,7.367022902,736702.29
110.88,20.09,-682.1267047,1.17E-10,20.25494115,2025494.11
110.88,30,-636.6788489,1.17E-10,30.51694278,3051694.28
110.88,54.6,-567.3747143,1.17E-10,57.01528099,5701528.1
110.88,148.4,-442.1280251,1.17E-10,176.4237951,17642379.5
110.88,403.4,-272.9908641,1.17E-10,811.0229267,81102292.7
133.06,1,-1280.594482,1.07E-10,0.992057695,99205.7695
133.06,2.71,-1147.709257,1.07E-10,2.693152612,269315.261
133.06,7.39,-1013.60857,1.07E-10,7.37822923,737822.923
133.06,20.09,-878.9275284,1.07E-10,20.30194014,2030194.01
133.06,30,-824.2313029,1.07E-10,30.62390239,3062390.24
133.06,54.6,-740.8401161,1.07E-10,57.31139688,5731139.69
133.06,148.4,-590.868704,1.07E-10,176.9019528,17690195.3
133.06,403.4,-400.909254,1.07E-10,737.46464,73746464
159.67,1,-1609.454385,9.77E-11,0.992138175,99213.8175
159.67,2.71,-1449.989803,9.77E-11,2.693443784,269344.378
159.67,7.39,-1289.001042,9.77E-11,7.382260428,738226.043
159.67,20.09,-1127.265568,9.77E-11,20.32833602,2032833.6
159.67,30,-1061.60774,9.77E-11,30.66817035,3066817.03
159.67,54.6,-961.5510744,9.77E-11,57.39010714,5739010.71
159.67,148.4,-783.3391624,9.77E-11,175.2123032,17521230.3
159.67,403.4,-565.9555976,9.77E-11,683.6551893,68365518.9
191.6,1,-2018.65863,8.92E-11,0.991974239,99197.4239
191.6,2.71,-1827.163766,8.92E-11,2.694986331,269498.633
191.6,7.39,-1634.062847,8.92E-11,7.383344636,738334.464
191.6,20.09,-1439.863451,8.92E-11,20.34415249,2034415.25
191.6,30,-1361.359392,8.92E-11,30.64662165,3064662.17
191.6,54.6,-1241.653488,8.92E-11,57.24225141,5724225.14
191.6,148.4,-1030.218235,8.92E-11,172.5723505,17257235
191.6,403.4,-779.1197384,8.92E-11,639.925346,63992534.6
229.92,1,-2527.294475,8.14E-11,0.991518359,99151.8359
229.92,2.71,-2297.455941,8.14E-11,2.694271526,269427.153
229.92,7.39,-2065.665877,8.14E-11,7.383600587,738360.059
229.92,20.09,-1833.025632,8.14E-11,20.3095795,2030957.95
229.92,30,-1738.761354,8.14E-11,30.60244668,3060244.67
229.92,54.6,-1595.804755,8.14E-11,56.98833853,5698833.85
229.92,148.4,-1345.079264,8.14E-11,169.5820348,16958203.5
229.92,403.4,-1054.37077,8.14E-11,600.4783291,60047832.9
275.9,1,-3158.59015,7.43E-11,0.99103528,99103.528
275.9,2.71,-2882.753775,7.43E-11,2.693292024,269329.202
275.9,7.39,-2604.629378,7.43E-11,7.380390693,738039.069
275.9,20.09,-2325.608925,7.43E-11,20.29017267,2029017.27
275.9,30,-2212.885355,7.43E-11,30.52980523,3052980.52
275.9,54.6,-2042.042889,7.43E-11,56.70839295,5670839.3
275.9,148.4,-1745.273018,7.43E-11,166.2620412,16626204.1
275.9,403.4,-1406.591578,7.43E-11,567.4295138,56742951.4
