Temperature,Pressure,GEMC density mean (molecule/angstrom^3),GEMC density standard deviation (molecule/angstrom^3),GCMC density (molecule/angstrom^3)
77,1,9.40E-05,2.09E-07,9.32327E-05
77,2.71,0.00025485,6.76E-07,0.000252335
77,7.39,0.000695429,3.47E-06,0.000687549
77,20.09,0.001887774,1.61E-05,0.001863287
77,30,0.002804134,3.44E-05,0.002768615
77,54.6,0.004965232,7.73E-05,0.004914614
77,148.4,0.011011739,0.000235268,0.01094705
77,403.4,0.018968233,0.000825655,0.019430205
92.4,1,7.83E-05,1.64E-07,7.75667E-05
92.4,2.71,0.000211876,5.55E-07,0.000210121
92.4,7.39,0.0005757,2.45E-06,0.000570308
92.4,20.09,0.001548785,9.55E-06,0.001535166
92.4,30,0.002290272,2.07E-05,0.002268154
92.4,54.6,0.00403536,4.65E-05,0.003991482
92.4,148.4,0.009234758,0.000136134,0.009162905
92.4,403.4,0.016713891,0.0005797,0.016834127
110.88,1,6.52E-05,1.28E-07,6.4434E-05
110.88,2.71,0.000176317,4.35E-07,0.000174609
110.88,7.39,0.00047828,1.67E-06,0.000473258
110.88,20.09,0.001280971,7.35E-06,0.001269973
110.88,30,0.001887567,1.37E-05,0.001865991
110.88,54.6,0.003323101,3.35E-05,0.003286222
110.88,148.4,0.007774783,8.76E-05,0.007718384
110.88,403.4,0.014696455,0.000279718,0.014707227
133.06,1,5.43E-05,1.01E-07,5.36468E-05
133.06,2.71,0.000146836,3.49E-07,0.000146095
133.06,7.39,0.000397978,1.24E-06,0.000393725
133.06,20.09,0.001062314,5.86E-06,0.001051176
133.06,30,0.001565707,9.43E-06,0.001555904
133.06,54.6,0.002752499,2.43E-05,0.002731357
133.06,148.4,0.006547066,6.81E-05,0.006490882
133.06,403.4,0.012926317,0.000147912,0.012894612
159.67,1,4.53E-05,7.57E-08,4.48054E-05
159.67,2.71,0.00012232,2.27E-07,0.000121155
159.67,7.39,0.000331533,1.00E-06,0.000328153
159.67,20.09,0.000885505,4.56E-06,0.00087973
159.67,30,0.001304248,7.71E-06,0.001296122
159.67,54.6,0.002297611,1.66E-05,0.002278924
159.67,148.4,0.005534578,5.52E-05,0.005501488
159.67,403.4,0.011357104,0.000105025,0.011295214
191.6,1,3.77E-05,6.24E-08,3.7346E-05
191.6,2.71,0.00010198,2.08E-07,0.000101007
191.6,7.39,0.000276386,6.61E-07,0.000275202
191.6,20.09,0.000739863,3.22E-06,0.000732719
191.6,30,0.001089937,6.16E-06,0.001075897
191.6,54.6,0.001923742,1.37E-05,0.001905293
191.6,148.4,0.004689309,4.65E-05,0.004653914
191.6,403.4,0.00995104,8.67E-05,0.009892063
229.92,1,3.14E-05,5.24E-08,3.12052E-05
229.92,2.71,8.50E-05,1.77E-07,8.44794E-05
229.92,7.39,0.000230518,5.58E-07,0.000228949
229.92,20.09,0.0006177,2.28E-06,0.000613966
229.92,30,0.000911232,3.96E-06,0.000906589
229.92,54.6,0.001613512,9.59E-06,0.001606128
229.92,148.4,0.003977982,3.30E-05,0.00395792
229.92,403.4,0.008689778,7.05E-05,0.008650171
275.9,1,2.62E-05,3.85E-08,2.60121E-05
275.9,2.71,7.09E-05,1.28E-07,7.04522E-05
275.9,7.39,0.000192263,4.50E-07,0.000191329
275.9,20.09,0.000516289,1.53E-06,0.00051298
275.9,30,0.00076276,2.96E-06,0.000757499
275.9,54.6,0.001354226,7.62E-06,0.00134924
275.9,148.4,0.00337263,2.69E-05,0.003352565
275.9,403.4,0.007565135,6.12E-05,0.007525949
