,Zeolite,Meta-learning T_max,Meta-learning Delta_n,Langmuir T_max,Langmuir Delta_n,Sips T_max,Sips Delta_n,Quadratic T_max,Quadratic Delta_n,DSL T_max,DSL Delta_n
0,7938,54.737500000000146,19.821363752548606,56.20000000000016,26.737705976451014,52.60000000000011,26.692760582592573,61.30000000000023,21.257676791154168,45.0,20.904387807768224
1,8172,45.65000000000001,22.56416223437337,45.0,32.77376303665006,45.0,32.628611898344396,45.0,27.658368444364903,45.0,31.666461324613927
2,5483,81.11250000000051,17.624951107475002,78.60000000000048,22.408487023243474,74.00000000000041,20.957223205905677,86.60000000000059,17.44811590765503,86.40000000000059,18.04531120753206
3,2582,48.262500000000045,21.21045430298819,48.30000000000005,30.153259280232938,45.60000000000001,30.73610380127402,51.50000000000009,24.39535386810166,45.0,23.162921285551427
4,13273,58.22500000000018,19.33291170282932,57.10000000000017,26.015601222382763,53.50000000000012,25.887792761015245,63.20000000000026,20.417114528618672,55.40000000000015,26.22130258929129
5,2226,52.92500000000012,20.57727718529105,52.300000000000104,28.6212430546676,48.800000000000054,28.951391695881014,56.700000000000166,22.791451491945022,45.0,24.206927633207677
6,9707,45.0,23.6814213534888,45.0,32.13566145889127,45.0,31.533654546659825,45.0,29.050046300810216,45.0,29.040305471342442
7,3,88.37500000000063,15.726936735219752,87.30000000000061,19.713167696843854,81.30000000000052,17.81060538868271,96.10000000000073,15.127922699640743,95.70000000000073,15.802814057591569
8,8999,57.96250000000018,19.776259316694826,56.90000000000017,26.6539343437759,53.40000000000012,26.534915744523005,62.10000000000024,21.144143636619425,45.0,21.379777288359044
9,5850,61.962500000000226,19.081326209318014,60.60000000000022,25.037932832584538,57.00000000000017,24.646923278445964,66.90000000000032,19.70862565869281,45.0,19.52126536361539
10,5508,53.162500000000115,20.64938238904289,52.80000000000011,28.602162482997258,49.500000000000064,28.842476021089002,57.20000000000017,22.7994787900819,45.0,23.071868276518224
11,6311,54.612500000000146,20.160309833018104,55.50000000000015,27.41288475081858,52.1000000000001,27.40104300680776,60.70000000000022,21.722792591590284,45.0,21.892302846830724
12,8518,45.2,23.02938654916189,45.0,33.01536688796842,45.0,32.56873068801725,45.0,28.494244909208653,45.0,25.929831838529942
13,2011,45.91250000000001,22.522798591520683,45.0,32.82533202163541,45.0,32.79641852371061,45.0,27.344769811552403,45.0,24.800385808866857
14,11230,46.03750000000001,22.551407472056603,45.0,32.806590413969396,45.0,32.89008460037076,45.0,27.24708495132291,45.0,24.11088690749967
15,4043,76.47500000000043,16.965112487131698,75.20000000000043,21.560866400869926,71.30000000000038,20.443114067312052,82.50000000000054,17.67325142075886,82.40000000000053,17.6145611867896
16,9709,45.0,23.69396223874652,45.0,31.325335836332677,45.0,30.765439367216466,45.0,28.8504022120651,45.0,27.527070379179357
17,4696,85.03750000000056,16.469390489365374,83.40000000000055,20.84041331479104,77.70000000000047,19.05553152934097,92.80000000000068,16.027789004366205,92.90000000000069,16.06290773679494
18,11202,45.0,23.541933682304265,45.0,32.48984274856412,45.0,31.938548421781896,45.0,29.004443502348302,45.0,29.697270727079747
19,820,47.00000000000003,21.087979163854705,45.1,30.503339258822564,45.0,31.090369558256505,47.400000000000034,24.92426081843168,45.0,24.659331655424474
20,3833,75.47500000000043,16.89514627748373,73.4000000000004,21.747739552104512,68.20000000000033,20.516683918937918,82.70000000000053,16.852046811408552,84.90000000000057,15.627447335501866
21,6867,94.9500000000007,14.375400624227245,92.00000000000067,18.49205928000497,86.30000000000058,16.478053802922595,99.80000000000078,14.145362580193547,99.90000000000077,14.96576692818235
22,6267,46.43750000000002,22.277380737590583,45.0,32.45802817336881,45.0,32.69002852432096,45.90000000000001,26.681670347773206,45.0,32.120316839140294
23,3984,77.23750000000045,17.040029939576954,75.30000000000044,21.873460072398668,70.40000000000036,20.563441129520882,83.80000000000055,17.021493417224626,84.50000000000057,16.635082772456123
