,temperature,external pressure,chemical potential mean,chemical potential std
0,77.0,0.1,-635.9444852502493,0.5884633327826896
1,77.0,0.271,-559.2645955687827,0.7616437593366769
2,77.0,0.739,-482.2146934040443,1.1590555041085546
3,77.0,2.009,-405.542540343916,1.8110989586440065
4,77.0,3.0,-374.87891600529144,2.18352332800413
5,77.0,5.46,-328.6982638888892,2.816789036266592
6,77.0,14.84,-244.13984424603152,5.8354588923947865
7,77.0,40.34,-85.16410052910064,36.7146833450034
8,92.4,0.1,-805.157554563491,0.6687444080961862
9,92.4,0.271,-712.9786531084661,0.8496189850858756
10,92.4,0.739,-620.166381613755,1.2184852496215768
11,92.4,2.009,-527.1885691137556,1.9264713484209852
12,92.4,3.0,-489.59647850528984,2.2848635770067007
13,92.4,5.46,-432.5471726190479,2.907437212140302
14,92.4,14.84,-329.19184788359826,4.627990686062729
15,92.4,40.34,-171.43725429894184,24.95754824841774
16,110.88,0.1,-1016.6523779761916,0.7725266982408895
17,110.88,0.271,-905.9500353835981,0.979706665749668
18,110.88,0.739,-794.2690839947095,1.3517250194371826
19,110.88,2.009,-682.1267046957678,2.1764578266726335
20,110.88,3.0,-636.6788488756604,2.5765071722609845
21,110.88,5.46,-567.3747142857139,3.2664260826380844
22,110.88,14.84,-442.12802513227587,4.951065001430713
23,110.88,40.34,-272.9908640873014,13.8538436009553
24,133.06,0.1,-1280.5944818121698,0.9210649600337774
25,133.06,0.271,-1147.709256944445,1.098760762774216
26,133.06,0.739,-1013.6085701058186,1.4995075757101768
27,133.06,2.009,-878.9275284391525,2.4946539417260105
28,133.06,3.0,-824.2313029100521,2.849287524882189
29,133.06,5.46,-740.8401160714254,3.8019609089232422
30,133.06,14.84,-590.86870403439,5.636163386341448
31,133.06,40.34,-400.9092539682537,10.214046823325287
32,159.67,0.1,-1609.4543852513248,1.1038065934573276
33,159.67,0.271,-1449.9898032407368,1.2800145255244217
34,159.67,0.739,-1289.0010416666673,1.72056001475977
35,159.67,2.009,-1127.2655677910075,2.7940924240971716
36,159.67,3.0,-1061.607740079364,3.287961643380953
37,159.67,5.46,-961.5510744047634,4.217734736529445
38,159.67,14.84,-783.3391623677231,6.363295028885361
39,159.67,40.34,-565.9555975529088,10.356221828803783
40,191.6,0.1,-2018.6586296296214,1.285260019976447
41,191.6,0.271,-1827.1637655423267,1.5280743988537184
42,191.6,0.739,-1634.062846891535,1.9433491227274284
43,191.6,2.009,-1439.8634507275135,2.8222227116742356
44,191.6,3.0,-1361.3593921957674,3.7358635356343717
45,191.6,5.46,-1241.6534877645502,4.8110114960851815
46,191.6,14.84,-1030.2182347883625,7.508815079483756
47,191.6,40.34,-779.1197384259272,11.258708415633457
48,229.92,0.1,-2527.29447453704,1.4798843892358575
49,229.92,0.271,-2297.4559411375662,1.8252166100699685
50,229.92,0.739,-2065.6658773148147,2.2249435717073607
51,229.92,2.009,-1833.0256319444475,3.1997613440278103
52,229.92,3.0,-1738.7613544973574,4.209669989492819
53,229.92,5.46,-1595.804755291009,5.204914371113424
54,229.92,14.84,-1345.0792642195756,8.037774098454504
55,229.92,40.34,-1054.3707698412713,12.814495149546461
56,275.9,0.1,-3158.5901504629674,1.702691233847998
57,275.9,0.271,-2882.7537746105368,2.112122784171618
58,275.9,0.739,-2604.6293783068795,2.7048672334609893
59,275.9,2.009,-2325.6089252645543,3.508263003122344
60,275.9,3.0,-2212.8853554894185,4.23474245305221
61,275.9,5.46,-2042.0428888888862,5.967738407514056
62,275.9,14.84,-1745.2730178571433,9.088022135815077
63,275.9,40.34,-1406.591578042329,14.717835359265582
